factor,mean_gain_share,sd_gain_share,mean_split_count,mean_gain_share_pct
mom5,0.15448822092667505,0.0074205583125624775,461.14285714285717,15.448822092667506
vol5_vol60,0.12102786123183007,0.00911784337160873,285.14285714285717,12.102786123183007
mom20,0.11635426767227745,0.017584239618770592,373.57142857142856,11.635426767227745
amount_ratio20,0.08408958567799761,0.00491488709534563,291.57142857142856,8.408958567799761
volume_ratio20,0.0787587193471112,0.002943487383246964,249.85714285714286,7.875871934711121
range1,0.07633275330464961,0.004844925756423897,345.85714285714283,7.633275330464961
vol60,0.07628555957841296,0.004055532660155683,296.85714285714283,7.628555957841296
range20,0.07584241590704584,0.004184573350388575,390.7142857142857,7.5842415907045835
vol5,0.075749267184243,0.004217506420291284,246.57142857142858,7.5749267184243
mom60,0.07108837401096317,0.00455855791905385,306.0,7.108837401096317
vol20,0.06998297515879358,0.0016639784103066751,342.14285714285717,6.998297515879358
